Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A504927,OWNER SUR,05/16/2023,AUSNA,OTHER,3 YEARS,SMALL,BLACK / GRAY,SUGAR GLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504927&location=MONT,
A504249,OWNER SUR,04/30/2023,RUBY,DOG,3 YEARS,MED,BROWN,STAFFORDSHIRE,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504249&location=MONT,
A503280,STRAY,04/07/2023,*BROWNIE,DOG,1 YEAR 1 MONTH,MED,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A503280&location=MONT,"1500 HEATHER HOLLOW CIR, SILVER SPRING MD 20904"
A502784,STRAY,03/24/2023,*TEMPO,OTHER,NO AGE,MED,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502784&location=MONT,"8600 E VILLAGE AVE, MONTGOMERY VILLAGE MD 20886"
A504239,STRAY,04/30/2023,KATNISS,CAT,8 YEARS,MED,BLUE,RUSSIAN BLUE,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504239&location=MONT,19400 TRANSHIRE RD MONTGOMERY VILLAGE MD 20886
A500853,OWNER SUR,02/02/2023,MAXIMILIAN,DOG,8 YEARS,LARGE,BRINDLE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500853&location=MONT,
A504460,OWNER SUR,05/05/2023,KEHLANI,CAT,5 YEARS,MED,GRAY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504460&location=MONT,
A500498,OWNER SUR,01/23/2023,STELLAR'S SEA,OTHER,10 MONTHS,MED,BRN TABBY,RABBIT SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500498&location=MONT,
A501606,EUTH REQ,02/22/2023,SIMBA,DOG,1 YEAR 3 MONTHS,MED,GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501606&location=MONT,
A503913,OWNER SUR,04/21/2023,BAYLOR,OTHER,1 YEAR 7 MONTHS,SMALL,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A503913&location=MONT,
A500491,OWNER SUR,01/23/2023,SHEEPSQUASH,OTHER,1 YEAR 4 MONTHS,MED,AGOUTI,RABBIT SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500491&location=MONT,
A503550,OWNER SUR,04/13/2023,MAKI,CAT,6 MONTHS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A503550&location=MONT,
A500506,OWNER SUR,02/04/2023,ALMAS,OTHER,1 YEAR 4 MONTHS,MED,BRN TORBI,RABBIT SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500506&location=MONT,
